"","Country","Amount","FirstMth","LastMth","Months","Purchases","Amount.per.Purchase","Purchases.per.Month","Amount.per.Month"
"14073","United Kingdom",151.04,12,12,1,13,11.6184615384615,13,151.04
"14075","United Kingdom",625.48,4,12,9,35,17.8708571428571,3.88888888888889,69.4977777777778
"14076","United Kingdom",122.47,9,9,1,46,2.66239130434783,46,122.47
"14077","United Kingdom",499.42,4,11,8,42,11.8909523809524,5.25,62.4275
"14078","United Kingdom",1049.37,1,9,9,65,16.1441538461538,7.22222222222222,116.596666666667
"14079","United Kingdom",375.1,9,9,1,12,31.2583333333333,12,375.1
"14080","United Kingdom",45.6,12,12,1,4,11.4,4,45.6
"14081","United Kingdom",934.52,1,3,3,153,6.10797385620915,51,311.506666666667
"14082","United Kingdom",182.25,1,1,1,29,6.28448275862069,29,182.25
"14083","United Kingdom",548.92,1,9,9,102,5.38156862745098,11.3333333333333,60.9911111111111
"14085","United Kingdom",3817.55,1,12,12,387,9.86447028423773,32.25,318.129166666667
"14088","United Kingdom",50491.81,2,12,11,589,85.7246349745331,53.5454545454545,4590.16454545455
"14089","United Kingdom",161,11,11,1,14,11.5,14,161
"14090","United Kingdom",76.32,2,2,1,1,76.32,1,76.32
"14092","United Kingdom",3722.45,1,12,12,197,18.8956852791878,16.4166666666667,310.204166666667
"14093","United Kingdom",442.85,12,12,1,105,4.21761904761905,105,442.85
"14096","United Kingdom",56228.81,9,12,4,4582,12.2716739415103,1145.5,14057.2025
"14098","United Kingdom",147.35,12,12,1,21,7.01666666666667,21,147.35
"14099","United Kingdom",3104.17,1,12,12,250,12.41668,20.8333333333333,258.680833333333
"14100","United Kingdom",194.9,8,8,1,26,7.49615384615385,26,194.9
"14101","United Kingdom",5976.79,2,10,9,35,170.765428571429,3.88888888888889,664.087777777778
"14102","United Kingdom",1241.78,11,12,2,74,16.7808108108108,37,620.89
"14104","United Kingdom",216.21,7,8,2,21,10.2957142857143,10.5,108.105
"14105","United Kingdom",1266.23,5,5,1,74,17.1112162162162,74,1266.23
"14107","United Kingdom",2703.23,1,11,11,123,21.9774796747967,11.1818181818182,245.748181818182
"14108","United Kingdom",597.91,9,12,4,34,17.5855882352941,8.5,149.4775
"14109","United Kingdom",144.2,10,10,1,9,16.0222222222222,9,144.2
"14110","United Kingdom",5357.71,4,12,9,155,34.5658709677419,17.2222222222222,595.301111111111
"14111","United Kingdom",692.85,5,12,8,10,69.285,1.25,86.60625
"14112","United Kingdom",2915.15,4,12,9,160,18.2196875,17.7777777777778,323.905555555556
"14113","United Kingdom",1368.52,1,12,12,23,59.5008695652174,1.91666666666667,114.043333333333
"14114","United Kingdom",386.53,2,4,3,15,25.7686666666667,5,128.843333333333
"14116","United Kingdom",1382.74,9,12,4,72,19.2047222222222,18,345.685
"14117","United Kingdom",90,8,8,1,3,30,3,90
"14121","United Kingdom",2008.99,11,12,2,120,16.7415833333333,60,1004.495
"14124","United Kingdom",419.58,10,10,1,5,83.916,5,419.58
"14125","United Kingdom",2740.43,10,12,3,167,16.4097604790419,55.6666666666667,913.476666666667
"14126","United Kingdom",643.63,12,12,1,14,45.9735714285714,14,643.63
"14127","United Kingdom",709.71,3,9,7,44,16.1297727272727,6.28571428571429,101.387142857143
"14128","United Kingdom",637.5,4,11,8,46,13.8586956521739,5.75,79.6875
"14129","United Kingdom",971.28,4,12,9,44,22.0745454545455,4.88888888888889,107.92
"14130","United Kingdom",483.86,2,2,1,67,7.22179104477612,67,483.86
"14132","United Kingdom",3270.9,7,12,6,180,18.1716666666667,30,545.15
"14133","United Kingdom",605.64,2,9,8,28,21.63,3.5,75.705
"14135","United Kingdom",4247.41,1,12,12,122,34.8148360655738,10.1666666666667,353.950833333333
"14138","United Kingdom",638.21,11,11,1,33,19.339696969697,33,638.21
"14139","United Kingdom",415.82,11,11,1,26,15.9930769230769,26,415.82
"14140","United Kingdom",540.99,12,12,1,40,13.52475,40,540.99
"14141","United Kingdom",688.78,9,11,3,30,22.9593333333333,10,229.593333333333
"14142","United Kingdom",311.81,1,1,1,22,14.1731818181818,22,311.81
"14143","United Kingdom",115.8,8,8,1,7,16.5428571428571,7,115.8
"14145","United Kingdom",3742.2,6,11,6,11,340.2,1.83333333333333,623.7
"14146","United Kingdom",2965.84,1,10,10,137,21.6484671532847,13.7,296.584
"14147","United Kingdom",483.4,3,10,8,5,96.68,0.625,60.425
"14148","United Kingdom",157.2,5,5,1,3,52.4,3,157.2
"14149","United Kingdom",446.62,6,6,1,28,15.9507142857143,28,446.62
"14150","United Kingdom",658.64,1,12,12,26,25.3323076923077,2.16666666666667,54.8866666666667
"14152","United Kingdom",621.29,5,10,6,49,12.679387755102,8.16666666666667,103.548333333333
"14154","United Kingdom",1345.62,5,5,1,52,25.8773076923077,52,1345.62
"14155","United Kingdom",118.75,4,4,1,6,19.7916666666667,6,118.75
"14156","EIRE",117379.63,1,12,12,1400,83.8425928571429,116.666666666667,9781.63583333333
"14157","United Kingdom",432.88,3,12,10,48,9.01833333333333,4.8,43.288
"14158","United Kingdom",507.66,11,11,1,41,12.3819512195122,41,507.66
"14159","United Kingdom",4693.01,1,12,12,1204,3.8978488372093,100.333333333333,391.084166666667
"14161","United Kingdom",1110.52,1,6,6,108,10.2825925925926,18,185.086666666667
"14162","United Kingdom",289.36,3,7,5,25,11.5744,5,57.872
"14163","United Kingdom",2445.91,5,10,6,52,47.0367307692308,8.66666666666667,407.651666666667
"14164","United Kingdom",1631.77,10,10,1,29,56.2679310344828,29,1631.77
"14165","United Kingdom",122.54,4,4,1,25,4.9016,25,122.54
"14167","United Kingdom",574.84,2,11,10,52,11.0546153846154,5.2,57.484
"14171","United Kingdom",363.79,10,10,1,58,6.27224137931035,58,363.79
"14173","United Kingdom",450.84,6,12,7,29,15.5462068965517,4.14285714285714,64.4057142857143
"14174","United Kingdom",134.46,12,12,1,26,5.17153846153846,26,134.46
"14175","United Kingdom",3222.3,2,11,10,149,21.6261744966443,14.9,322.23
"14176","United Kingdom",576.9,1,3,3,31,18.6096774193548,10.3333333333333,192.3
"14177","United Kingdom",559.41,7,10,4,42,13.3192857142857,10.5,139.8525
"14178","United Kingdom",1200.81,7,12,6,258,4.6543023255814,43,200.135
"14179","United Kingdom",719.78,11,11,1,165,4.36230303030303,165,719.78
"14180","United Kingdom",4748.52,1,12,12,240,19.7855,20,395.71
"14184","United Kingdom",452.89,11,11,1,24,18.8704166666667,24,452.89
"14185","United Kingdom",197.65,2,2,1,3,65.8833333333333,3,197.65
"14188","United Kingdom",2054.36,3,12,10,65,31.6055384615385,6.5,205.436
"14189","United Kingdom",4352.52,1,12,12,247,17.6215384615385,20.5833333333333,362.71
"14191","United Kingdom",4258.64,6,12,7,227,18.7605286343612,32.4285714285714,608.377142857143
"14193","United Kingdom",853.39,4,11,8,42,20.3188095238095,5.25,106.67375
"14194","United Kingdom",10865.42,3,12,10,557,19.5070377019749,55.7,1086.542
"14195","United Kingdom",1012,5,6,2,7,144.571428571429,3.5,506
"14196","United Kingdom",335.52,9,9,1,6,55.92,6,335.52
"14198","United Kingdom",701.4,5,12,8,39,17.9846153846154,4.875,87.675
"14199","United Kingdom",185.4,6,6,1,2,92.7,2,185.4
"14201","United Kingdom",747.44,1,11,11,37,20.2010810810811,3.36363636363636,67.9490909090909
"14205","United Kingdom",466.7,4,12,9,24,19.4458333333333,2.66666666666667,51.8555555555556
"14206","United Kingdom",328.16,5,5,1,20,16.408,20,328.16
"14208","United Kingdom",151.74,10,10,1,10,15.174,10,151.74
"14209","United Kingdom",2073.43,2,12,11,87,23.8325287356322,7.90909090909091,188.493636363636
"14210","United Kingdom",1905.84,1,9,9,102,18.6847058823529,11.3333333333333,211.76
"14211","United Kingdom",2241.1,3,11,9,112,20.0098214285714,12.4444444444444,249.011111111111
"14212","United Kingdom",1070.48,10,10,1,9,118.942222222222,9,1070.48
"14214","United Kingdom",1004.38,4,12,9,67,14.9907462686567,7.44444444444444,111.597777777778
"14215","United Kingdom",1789.72,1,12,12,108,16.5714814814815,9,149.143333333333
"14216","United Kingdom",1252.74,12,12,1,40,31.3185,40,1252.74
"14217","United Kingdom",1910.5,1,12,12,94,20.3244680851064,7.83333333333333,159.208333333333
"14218","United Kingdom",169.48,11,11,1,12,14.1233333333333,12,169.48
"14220","United Kingdom",632.4,1,5,5,21,30.1142857142857,4.2,126.48
"14221","United Kingdom",3432.8,2,11,10,193,17.7865284974093,19.3,343.28
"14222","United Kingdom",683.17,7,7,1,41,16.6626829268293,41,683.17
"14223","United Kingdom",991.13,4,10,7,60,16.5188333333333,8.57142857142857,141.59
"14224","United Kingdom",1050.12,2,9,8,118,8.8993220338983,14.75,131.265
"14226","United Kingdom",2232.19,4,12,9,67,33.3162686567164,7.44444444444444,248.021111111111
"14227","United Kingdom",3350.96,3,12,10,175,19.1483428571429,17.5,335.096
"14229","United Kingdom",1547.2,2,11,10,40,38.68,4,154.72
"14231","United Kingdom",925.71,3,7,5,50,18.5142,10,185.142
"14232","United Kingdom",2048.07,4,11,8,115,17.8093043478261,14.375,256.00875
"14233","United Kingdom",1462.72,2,11,10,35,41.792,3.5,146.272
"14234","United Kingdom",775.46,11,12,2,159,4.87710691823899,79.5,387.73
"14235","United Kingdom",3144.86,4,10,7,79,39.8083544303798,11.2857142857143,449.265714285714
"14236","United Kingdom",490.86,1,10,10,15,32.724,1.5,49.086
"14237","United Kingdom",161,1,1,1,9,17.8888888888889,9,161
"14238","United Kingdom",146.85,2,2,1,8,18.35625,8,146.85
"14239","United Kingdom",2380.85,2,11,10,112,21.2575892857143,11.2,238.085
"14240","United Kingdom",890.34,5,12,8,42,21.1985714285714,5.25,111.2925
"14241","United Kingdom",213.7,7,7,1,10,21.37,10,213.7
"14242","United Kingdom",280.55,2,5,4,16,17.534375,4,70.1375
"14243","United Kingdom",2481.35,1,12,12,135,18.3803703703704,11.25,206.779166666667
"14245","United Kingdom",1693.45,4,6,3,108,15.6800925925926,36,564.483333333333
"14246","United Kingdom",1474.06,5,9,5,75,19.6541333333333,15,294.812
"14247","United Kingdom",136.77,4,4,1,20,6.8385,20,136.77
"14248","United Kingdom",302.58,2,2,1,8,37.8225,8,302.58
"14250","United Kingdom",1228.83,10,10,1,74,16.6058108108108,74,1228.83
"14251","United Kingdom",2397.42,11,12,2,68,35.2561764705882,34,1198.71
"14256","United Kingdom",969.06,1,4,4,53,18.2841509433962,13.25,242.265
"14257","United Kingdom",3099.72,2,11,10,106,29.242641509434,10.6,309.972
"14258","United Kingdom",12669.98,2,12,11,111,114.143963963964,10.0909090909091,1151.81636363636
"14259","United Kingdom",120,8,8,1,5,24,5,120
"14261","United Kingdom",1163.45,10,11,2,52,22.3740384615385,26,581.725
"14262","United Kingdom",2313.53,5,12,8,123,18.8091869918699,15.375,289.19125
"14264","United Kingdom",333.97,5,8,4,17,19.6452941176471,4.25,83.4925
"14267","United Kingdom",1516.24,4,7,4,55,27.568,13.75,379.06
"14270","United Kingdom",492.65,2,2,1,29,16.9879310344828,29,492.65
"14271","United Kingdom",112.32,5,5,1,10,11.232,10,112.32
"14272","United Kingdom",437.96,4,10,7,33,13.2715151515152,4.71428571428571,62.5657142857143
"14273","United Kingdom",559.97,5,11,7,29,19.3093103448276,4.14285714285714,79.9957142857143
"14276","United Kingdom",1119.74,3,10,8,64,17.4959375,8,139.9675
"14277","France",4216.2,6,12,7,225,18.7386666666667,32.1428571428571,602.314285714286
"14280","United Kingdom",134.04,6,6,1,8,16.755,8,134.04
"14282","United Kingdom",3371.64,1,12,12,142,23.7439436619718,11.8333333333333,280.97
"14284","United Kingdom",595.25,10,12,3,32,18.6015625,10.6666666666667,198.416666666667
"14285","United Kingdom",1910.01,7,12,6,27,70.7411111111111,4.5,318.335
"14286","United Kingdom",4628.75,5,12,8,280,16.53125,35,578.59375
"14287","United Kingdom",83.28,6,6,1,4,20.82,4,83.28
"14288","United Kingdom",426.6,6,6,1,16,26.6625,16,426.6
"14289","United Kingdom",832.78,3,8,6,42,19.8280952380952,7,138.796666666667
"14290","United Kingdom",2314.65,1,12,12,101,22.9173267326733,8.41666666666667,192.8875
"14291","United Kingdom",3325.56,4,11,8,202,16.4631683168317,25.25,415.695
"14292","United Kingdom",4458.61,4,11,8,93,47.9420430107527,11.625,557.32625
"14293","United Kingdom",739.41,1,8,8,40,18.48525,5,92.42625
"14295","United Kingdom",166.2,11,11,1,5,33.24,5,166.2
"14297","United Kingdom",1305.33,4,12,9,62,21.0537096774194,6.88888888888889,145.036666666667
"14298","United Kingdom",50889.7,1,12,12,1623,31.3553296364757,135.25,4240.80833333333
"14299","United Kingdom",3676.1,1,12,12,129,28.4968992248062,10.75,306.341666666667
"14300","United Kingdom",43.2,12,12,1,3,14.4,3,43.2
"14301","United Kingdom",640.14,9,9,1,13,49.2415384615385,13,640.14
"14304","United Kingdom",383.45,6,6,1,17,22.5558823529412,17,383.45
"14305","United Kingdom",1858.96,8,10,3,105,17.704380952381,35,619.653333333333
"14306","United Kingdom",2093.32,10,11,2,33,63.4339393939394,16.5,1046.66
"14307","United Kingdom",2995.72,1,10,10,180,16.6428888888889,18,299.572
"14309","United Kingdom",1962.66,1,12,12,99,19.8248484848485,8.25,163.555
"14311","United Kingdom",310.26,5,5,1,20,15.513,20,310.26
"14312","United Kingdom",1611.59,2,11,10,87,18.5240229885057,8.7,161.159
"14314","United Kingdom",120,9,9,1,8,15,8,120
"14315","United Kingdom",2481.13,4,11,8,101,24.5656435643564,12.625,310.14125
"14317","United Kingdom",508.58,11,11,1,24,21.1908333333333,24,508.58
"14320","United Kingdom",477.79,2,6,5,31,15.4125806451613,6.2,95.558
"14321","United Kingdom",1530.75,2,12,11,123,12.4451219512195,11.1818181818182,139.159090909091
"14323","United Kingdom",605.06,5,9,5,36,16.8072222222222,7.2,121.012
"14326","United Kingdom",183.85,5,5,1,8,22.98125,8,183.85
"14327","United Kingdom",311.65,7,7,1,12,25.9708333333333,12,311.65
"14329","United Kingdom",5014.84,2,12,11,259,19.3623166023166,23.5454545454545,455.894545454545
"14331","United Kingdom",462.66,8,9,2,28,16.5235714285714,14,231.33
"14332","United Kingdom",866.31,8,12,5,26,33.3196153846154,5.2,173.262
"14333","United Kingdom",415.2,11,11,1,15,27.68,15,415.2
"14334","United Kingdom",2552.21,1,12,12,162,15.7543827160494,13.5,212.684166666667
"14335","Germany",468.26,10,12,3,63,7.43269841269841,21,156.086666666667
"14336","United Kingdom",1614.91,4,12,9,90,17.9434444444444,10,179.434444444444
"14338","United Kingdom",588.22,6,8,3,31,18.9748387096774,10.3333333333333,196.073333333333
"14339","United Kingdom",309.52,5,5,1,14,22.1085714285714,14,309.52
"14340","United Kingdom",134.7,6,6,1,6,22.45,6,134.7
"14341","United Kingdom",2182.28,2,11,10,129,16.9168992248062,12.9,218.228
"14342","United Kingdom",668.56,6,12,7,21,31.8361904761905,3,95.5085714285714
"14344","United Kingdom",889.93,1,9,9,71,12.5342253521127,7.88888888888889,98.8811111111111
"14345","United Kingdom",108.98,12,12,1,6,18.1633333333333,6,108.98
"14346","United Kingdom",1021.58,3,9,7,60,17.0263333333333,8.57142857142857,145.94
"14348","United Kingdom",409.57,4,4,1,18,22.7538888888889,18,409.57
"14349","United Kingdom",133.5,12,12,1,31,4.30645161290323,31,133.5
"14350","United Kingdom",282.93,4,4,1,18,15.7183333333333,18,282.93
"14351","United Kingdom",51,7,7,1,1,51,1,51
"14352","United Kingdom",1078.96,4,8,5,47,22.9565957446809,9.4,215.792
"14353","United Kingdom",90.6,6,6,1,6,15.1,6,90.6
"14354","United Kingdom",87.78,12,12,1,6,14.63,6,87.78
"14355","United Kingdom",174.4,1,1,1,11,15.8545454545455,11,174.4
"14356","United Kingdom",701.23,10,10,1,33,21.2493939393939,33,701.23
"14357","United Kingdom",225.77,11,11,1,41,5.50658536585366,41,225.77
"14359","United Kingdom",912.18,10,12,3,55,16.5850909090909,18.3333333333333,304.06
"14360","United Kingdom",2128.23,10,12,3,118,18.0358474576271,39.3333333333333,709.41
"14362","United Kingdom",161.2,12,12,1,41,3.93170731707317,41,161.2
"14364","United Kingdom",3717.35,6,9,4,69,53.8746376811594,17.25,929.3375
"14367","United Kingdom",8627.99,4,12,9,501,17.2215369261477,55.6666666666667,958.665555555556
"14368","United Kingdom",155,2,2,1,8,19.375,8,155
"14371","United Kingdom",100.5,3,3,1,4,25.125,4,100.5
"14373","United Kingdom",76.55,1,1,1,4,19.1375,4,76.55
"14375","United Kingdom",257.68,7,7,1,75,3.43573333333333,75,257.68
"14377","United Kingdom",617.05,4,7,4,11,56.0954545454545,2.75,154.2625
"14379","United Kingdom",348.1,3,11,9,46,7.56739130434783,5.11111111111111,38.6777777777778
"14381","United Kingdom",202.68,11,11,1,56,3.61928571428571,56,202.68
"14382","United Kingdom",626.07,12,12,1,131,4.77916030534351,131,626.07
"14383","United Kingdom",1247.69,7,12,6,59,21.1472881355932,9.83333333333333,207.948333333333
"14385","United Kingdom",202.11,12,12,1,14,14.4364285714286,14,202.11
"14386","United Kingdom",142.4,3,3,1,7,20.3428571428571,7,142.4
"14387","United Kingdom",1770.56,9,12,4,140,12.6468571428571,35,442.64
"14388","United Kingdom",3212.84,1,12,12,186,17.2733333333333,15.5,267.736666666667
"14389","United Kingdom",1043.46,7,11,5,45,23.188,9,208.692
"14390","United Kingdom",4652.82,1,12,12,286,16.2686013986014,23.8333333333333,387.735
"14393","United Kingdom",67.95,6,6,1,5,13.59,5,67.95
"14395","United Kingdom",2948.72,1,11,11,293,10.0638907849829,26.6363636363636,268.065454545455
"14396","United Kingdom",487.99,1,11,11,73,6.68479452054795,6.63636363636364,44.3627272727273
"14397","United Kingdom",2183.76,6,12,7,75,29.1168,10.7142857142857,311.965714285714
"14400","United Kingdom",574.7,8,8,1,25,22.988,25,574.7
"14401","United Kingdom",3697.7,1,12,12,157,23.5522292993631,13.0833333333333,308.141666666667
"14403","United Kingdom",1475.81,5,9,5,20,73.7905,4,295.162
"14404","United Kingdom",1474.32,1,12,12,103,14.313786407767,8.58333333333333,122.86
"14406","United Kingdom",156.75,9,9,1,8,19.59375,8,156.75
"14407","United Kingdom",2157.73,4,9,6,73,29.5579452054795,12.1666666666667,359.621666666667
"14408","United Kingdom",2606.53,4,12,9,107,24.3600934579439,11.8888888888889,289.614444444444
"14409","United Kingdom",2059.45,1,10,10,54,38.137962962963,5.4,205.945
"14410","United Kingdom",1105.07,3,10,8,194,5.69623711340206,24.25,138.13375
"14411","United Kingdom",1063,3,3,1,14,75.9285714285714,14,1063
"14412","United Kingdom",770.03,10,11,2,43,17.9076744186046,21.5,385.015
"14413","United Kingdom",122.7,1,1,1,23,5.33478260869565,23,122.7
"14414","United Kingdom",1496.98,1,10,10,97,15.4327835051546,9.7,149.698
"14415","United Kingdom",4804.33,1,12,12,475,10.1143789473684,39.5833333333333,400.360833333333
"14416","United Kingdom",490.22,11,12,2,14,35.0157142857143,7,245.11
"14418","United Kingdom",1039.9,9,12,4,63,16.5063492063492,15.75,259.975
"14419","United Kingdom",1058.06,1,12,12,206,5.13621359223301,17.1666666666667,88.1716666666667
"14420","United Kingdom",387.52,10,10,1,29,13.3627586206897,29,387.52
"14421","United Kingdom",813.11,6,11,6,27,30.1151851851852,4.5,135.518333333333
"14422","United Kingdom",3881.63,4,12,9,207,18.7518357487923,23,431.292222222222
"14423","United Kingdom",265.2,6,6,1,3,88.4,3,265.2
"14424","United Kingdom",322.08,12,12,1,1,322.08,1,322.08
"14426","United Kingdom",4481.67,2,12,11,224,20.0074553571429,20.3636363636364,407.424545454545
"14427","United Kingdom",363.34,11,11,1,17,21.3729411764706,17,363.34
"14428","United Kingdom",1042.97,2,12,11,131,7.96160305343511,11.9090909090909,94.8154545454545
"14431","United Kingdom",470.36,3,3,1,17,27.6682352941176,17,470.36
"14432","United Kingdom",2255.51,10,12,3,382,5.90447643979058,127.333333333333,751.836666666667
"14434","United Kingdom",1372.8,10,12,3,12,114.4,4,457.6
"14436","United Kingdom",89.06,10,10,1,9,9.89555555555556,9,89.06
"14437","United Kingdom",63,1,1,1,5,12.6,5,63
"14438","United Kingdom",131.9,3,3,1,9,14.6555555555556,9,131.9
"14439","Greece",2661.24,2,2,1,32,83.16375,32,2661.24
"14440","United Kingdom",1740.43,1,11,11,46,37.8354347826087,4.18181818181818,158.220909090909
"14441","United Kingdom",1407.19,4,11,8,42,33.5045238095238,5.25,175.89875
"14442","Channel Islands",1589.82,2,6,5,63,25.2352380952381,12.6,317.964
"14443","United Kingdom",1420.2,1,11,11,93,15.2709677419355,8.45454545454546,129.109090909091
"14446","United Kingdom",842.49,5,12,8,219,3.84698630136986,27.375,105.31125
"14447","United Kingdom",1163.23,4,12,9,70,16.6175714285714,7.77777777777778,129.247777777778
"14448","United Kingdom",375.35,1,12,12,20,18.7675,1.66666666666667,31.2791666666667
"14449","United Kingdom",907.1,1,12,12,258,3.51589147286822,21.5,75.5916666666667
"14450","United Kingdom",483.25,2,7,6,40,12.08125,6.66666666666667,80.5416666666667
"14451","United Kingdom",662.59,6,11,6,109,6.07880733944954,18.1666666666667,110.431666666667
"14452","United Kingdom",264.44,10,12,3,62,4.26516129032258,20.6666666666667,88.1466666666667
"14453","United Kingdom",119.93,7,7,1,22,5.45136363636364,22,119.93
"14456","United Kingdom",2679.44,8,12,5,853,3.14119577960141,170.6,535.888
"14457","United Kingdom",113.64,3,3,1,4,28.41,4,113.64
"14459","United Kingdom",1837.92,8,8,1,37,49.6735135135135,37,1837.92
"14460","United Kingdom",434.34,3,9,7,16,27.14625,2.28571428571429,62.0485714285714
"14461","United Kingdom",2103.06,4,8,5,180,11.6836666666667,36,420.612
"14462","United Kingdom",2004.02,2,11,10,240,8.35008333333333,24,200.402
"14463","United Kingdom",529.62,6,10,5,6,88.27,1.2,105.924
"14465","United Kingdom",1058.62,3,5,3,130,8.14323076923077,43.3333333333333,352.873333333333
"14466","United Kingdom",2272.4,1,12,12,72,31.5611111111111,6,189.366666666667
"14467","United Kingdom",598.76,2,12,11,90,6.65288888888889,8.18181818181818,54.4327272727273
"14470","United Kingdom",461.19,3,12,10,43,10.7253488372093,4.3,46.119
"14472","United Kingdom",1936.84,1,9,9,281,6.89266903914591,31.2222222222222,215.204444444444
"14473","United Kingdom",234.34,4,10,7,7,33.4771428571429,1,33.4771428571429
"14474","United Kingdom",547.66,11,11,1,29,18.8848275862069,29,547.66
"14475","United Kingdom",925.85,3,10,8,42,22.0440476190476,5.25,115.73125
"14476","United Kingdom",215.7,4,4,1,19,11.3526315789474,19,215.7
"14477","United Kingdom",1309.6,3,12,10,10,130.96,1,130.96
"14479","United Kingdom",316.25,1,4,4,18,17.5694444444444,4.5,79.0625
"14480","United Kingdom",279.05,12,12,1,13,21.4653846153846,13,279.05
"14481","United Kingdom",636.51,3,7,5,30,21.217,6,127.302
"14482","United Kingdom",2068.15,5,12,8,144,14.3621527777778,18,258.51875
"14483","United Kingdom",137.1,4,4,1,9,15.2333333333333,9,137.1
"14484","United Kingdom",321.92,11,11,1,14,22.9942857142857,14,321.92
"14485","United Kingdom",165.75,12,12,1,47,3.52659574468085,47,165.75
"14487","United Kingdom",1196.33,1,12,12,144,8.30784722222222,12,99.6941666666667
"14488","United Kingdom",1064.28,11,11,1,46,23.1365217391304,46,1064.28
"14489","United Kingdom",463.38,6,6,1,30,15.446,30,463.38
"14491","United Kingdom",340.93,1,7,7,17,20.0547058823529,2.42857142857143,48.7042857142857
"14493","United Kingdom",1867.54,8,12,5,93,20.0810752688172,18.6,373.508
"14494","United Kingdom",139.56,12,12,1,7,19.9371428571429,7,139.56
"14495","United Kingdom",123.8,9,11,3,6,20.6333333333333,2,41.2666666666667
"14496","United Kingdom",538.81,1,3,3,19,28.3584210526316,6.33333333333333,179.603333333333
"14497","United Kingdom",475.37,3,3,1,29,16.3920689655172,29,475.37
"14498","United Kingdom",1957.32,1,11,11,193,10.1415544041451,17.5454545454545,177.938181818182
"14499","United Kingdom",815.32,4,12,9,194,4.20268041237113,21.5555555555556,90.5911111111111
"14500","United Kingdom",356.85,7,10,4,7,50.9785714285714,1.75,89.2125
"14501","United Kingdom",251.21,2,7,6,10,25.121,1.66666666666667,41.8683333333333
"14502","United Kingdom",2470.67,2,12,11,624,3.95940705128205,56.7272727272727,224.606363636364
"14503","United Kingdom",2772.39,7,12,6,130,21.3260769230769,21.6666666666667,462.065
"14504","United Kingdom",673.26,4,11,8,107,6.29214953271028,13.375,84.1575
"14505","United Kingdom",5905.64,1,12,12,799,7.39128911138924,66.5833333333333,492.136666666667
"14506","United Kingdom",2012.17,1,12,12,316,6.36762658227848,26.3333333333333,167.680833333333
"14507","United Kingdom",1383.18,4,12,9,96,14.408125,10.6666666666667,153.686666666667
"14508","United Kingdom",276.42,10,12,3,57,4.84947368421053,19,92.14
"14511","United Kingdom",1314.81,8,12,5,68,19.3354411764706,13.6,262.962
"14512","United Kingdom",275.28,5,7,3,23,11.9686956521739,7.66666666666667,91.76
"14513","United Kingdom",455.59,3,9,7,12,37.9658333333333,1.71428571428571,65.0842857142857
"14514","United Kingdom",1055.35,2,11,10,73,14.4568493150685,7.3,105.535
"14515","United Kingdom",2102.09,6,12,7,101,20.8127722772277,14.4285714285714,300.298571428571
"14517","United Kingdom",330.45,8,12,5,18,18.3583333333333,3.6,66.09
"14518","United Kingdom",174.37,11,11,1,16,10.898125,16,174.37
"14520","United Kingdom",165,3,3,1,1,165,1,165
"14522","United Kingdom",974.54,6,12,7,17,57.3258823529412,2.42857142857143,139.22
"14523","United Kingdom",241.09,9,9,1,12,20.0908333333333,12,241.09
"14524","United Kingdom",1867.68,1,12,12,203,9.20039408866995,16.9166666666667,155.64
"14525","United Kingdom",4332.2,1,12,12,291,14.8872852233677,24.25,361.016666666667
"14527","United Kingdom",7876.87,1,12,12,915,8.60860109289617,76.25,656.405833333333
"14528","United Kingdom",364.22,12,12,1,18,20.2344444444444,18,364.22
"14529","United Kingdom",620.04,9,11,3,229,2.70759825327511,76.3333333333333,206.68
"14530","United Kingdom",2925.91,3,12,10,216,13.5458796296296,21.6,292.591
"14532","United Kingdom",932.85,1,5,5,64,14.57578125,12.8,186.57
"14533","United Kingdom",1949.72,1,12,12,62,31.4470967741936,5.16666666666667,162.476666666667
"14534","United Kingdom",4316.23,2,12,11,504,8.56394841269841,45.8181818181818,392.384545454546
"14535","United Kingdom",2864.19,5,11,7,330,8.67936363636364,47.1428571428571,409.17
"14536","United Kingdom",171.8,4,4,1,19,9.04210526315789,19,171.8
"14537","United Kingdom",355.56,11,11,1,10,35.556,10,355.56
"14538","United Kingdom",388.25,4,11,8,19,20.4342105263158,2.375,48.53125
"14539","United Kingdom",537.48,11,12,2,32,16.79625,16,268.74
"14540","United Kingdom",996.26,3,12,10,76,13.1086842105263,7.6,99.626
"14541","United Kingdom",1461.65,2,11,10,111,13.168018018018,11.1,146.165
"14542","United Kingdom",103.25,7,7,1,5,20.65,5,103.25
"14543","United Kingdom",3630.33,1,12,12,72,50.42125,6,302.5275
"14544","United Kingdom",2024.45,1,12,12,114,17.7583333333333,9.5,168.704166666667
"14546","United Kingdom",2078.1,5,11,7,326,6.37453987730061,46.5714285714286,296.871428571429
"14547","United Kingdom",3528.04,11,12,2,338,10.4379881656805,169,1764.02
"14548","United Kingdom",652.8,2,8,7,4,163.2,0.571428571428571,93.2571428571429
"14549","United Kingdom",289.24,3,3,1,56,5.165,56,289.24
"14550","United Kingdom",765.62,11,12,2,48,15.9504166666667,24,382.81
"14551","United Kingdom",186.23,6,12,7,10,18.623,1.42857142857143,26.6042857142857
"14552","United Kingdom",165.07,8,8,1,58,2.84603448275862,58,165.07
"14553","United Kingdom",859.27,2,12,11,113,7.6041592920354,10.2727272727273,78.1154545454545
